"Prolific_ID","Behave_desp"
"59942e109845ef00014de0a3","I had to rebuild my life from scratch but that does not mean I ""coped well"" with the situation. As I did not have much of a support system around me, I became desperate and ultimately highly depressed about my circumstances and my inability to change things."
"59ccd702faf42e00012b68f5","A way to cope was to look into opportunities to make money. I sought employment whilst trying to think of a business idea."
"59ff2fbddf3fa800015c2d64","Sold items I owned to make extra cash and spent time staying with family so I had food and didn’t need to pay for heating"
"5a6cfbea3fb6420001c311a7","We eat less or not at all, borrow money from bank and/or credit lenders. No luxuries at all.

Cancelled subscription, having treats  had to turn down birthday events so we didn't have birthday gift and save money on travel

"
"5a79d9cc5292b800012290b9","I sought help from the government and charities to help with food"
"5aa559ee1eda41000136cd9a","I would say that I generally would always heavily heavily use the internet at those times, even more so than usual. I would spend many hours on the internet, on forums, discussing all sorts of things. Or playing games if I had access to a console. Usually the internet. Thinking about various topics, doing lots of reading online, debating a lot online would help me cope with my life being terrible."
"5b13da851e55760001ba009a","I tried to look positive, and think maybe everything would be better tomorrow.  Through redundancies with our places of work closing down, this is why it happened.  We were on good salaries.  It all worked out better, when we found employment"
"5b421b9ac2e3810001763252","I tried to improve my financial situation and meant working more hours or selling items I had to be able to get enough financial assets."
"5b4dfe26116e9c00011e38c8","It happens a lot in my life and I know I always manage to get through the bad times, so having this coping mechanism helps."
"5b587d897846fa0001fc11c6","There wasn’t much I did to cope during that period; I mostly stayed indoors because I couldn’t afford to spend money on going out or activities. In a way, staying home did help, as it allowed me to cut back on expenses and gradually save some money, which was essential for getting back on my feet. However, being isolated also made it challenging to keep a positive mindset, as I often felt trapped and alone with my thoughts. Thankfully, I leaned on my friends and family for emotional support, which was a huge source of comfort. Talking to them and knowing that they were there for me made a significant difference and helped me push through that difficult time, even when things felt overwhelming."
"5b6ae897122e27000180a65b","I just tried my hardest to remain positive at all times. I reached out to all additional services I could to see what additional support I was entitled too"
"5b7467ea50075a0001107043","I tried to think rationally, but mostly panic took over. I was in a situation where changing jobs had caused a deficit and a time gap where I wouldn’t be able to meet demands. Everything felt too overwhelming to sort and having to have conversations with people I owed bills to. The new job was also very stressful and I was questioning everything. Talking to family was what helped, and they selflessly helped me get through that time. I
Know I’m very lucky."
"5bb62f1a3e969700019bd44d","I had no option so there were not really coping methods.  I did tell myself that it would get better & I would not let myself be in a situation like it again."
"5bb775b0f1f9ba000140e7b3","I lost my job so had very hard time with money, I got another job in the end and could live my life again."
"5bb7b83ab791890001f4fd90","I took out personal loans in order to be able to meet my financial obligations."
"5bbc3d95f1f9ba000141d855","We cut back on all of our spending and put every energy into making our business work. We had no children at the time which made it easier to do."
"5be1b59a8425f6000141b942","Look at saving money if we could.Had to priotise certain things."
"5bff1c0a0ef0390001388c5f","I worked extra hours and work and ensured I spent money more wisely"
"5c18daaae467040001e68fc4","I had to budget my income sources and find a way to make it stretch. I did this by buying cheaper food and general supplies from the food shop. I stopped going out with friends and kept family trips to a minimum. I also walked more often on short journeys to save the amount of petrol i was using."
"5c1c24b95a1e530001a333d4","Buried my head in the sand"
"5c2e74018a20f50001ea0e49","USED SOCIAL SECURITY FOR EVERYDAY LIVING AND USED AN EMPTY SHOP UPSTAIRS FOR A ROOF OVER MY HEAD WITH NO HEATING"
"5c4592d7f608210001a4b0a8","I continually paid Peter to pay Paul, ie I borrowed money from other pots I'd earmarked for certain things. I ate less and sometimes skipped meals. I saved above and beyond when I had more hours' work so I could cope in the lean times. I coped with the misery by focusing on my child, reading, gardening and watching tv."
"5c4b4d5c2cfe4d00018485cc","I took on extra jobs to earn more money.  I also skipped meals, turned heating down or off, walked when I could instead of driving, filled bottles with water at work and brought home with me for cooking and cleaning, rather than running the tap (water meter) at home, bought nothing that wasn't necessary, ate basic food when I did eat, made my own cat litter out of cut up cardboard packaging, batch cooked to save energy,"
"5c636bc3302b1e0001e69dce","I drank water from the tap, rationed out what food I had and counted the days to my next payday."
"5cd2e5dc3c43570018b98f0a","It was when I was a lot younger, and had less financial responsibilities so it was easier for me to ‘bounce back.’ I decided that I had to quit gambling, but also that I was going to consciously put money aside each month. I also reassured myself that I still had plenty of time to turn things around."
"5cdd11ab4ea13d0001a5c036","Borrowed money but also worked a lot of hours"
"5ced66139b5b490001b688ed","I sought help in whatever way I could think of, visiting a food bank and calling the council, for any help they would have to offer me."
"5d1c9d39ff67e3000140ca87","I have only had money once in my life so I used it to make sure I can live rent free for ever. At all other times & at least for the next seven years till I can claim a pension I make a small amount of money to survive on. As I have collected a lifetime of tools I just make it if I want it."
"5d3ee89122ed84000172272a","just waited for things to get better"
"5d4310bbd8e961001b825ca4","I tried to keep my spirits up despite having no income for roughly 3 weeks. I always knew that things would improve if I managed to see it through."
"5d461c9bf0b006001a3f1142","I was a child. I could not do much, well nothing really. Our grandparents helped us a little so we could survive."
"5d4da26120b0dc0016bb065b","I was out of work after a contract ended. I had a young daughter and was struggling to find work. I took to small “side hussles” on line to make small amounts of money regularly. This could be anything from surveys to mystery shopping, proof reading. Anything I could do around my daughter’s time. This kept me going until I found a new job. It was tricky, we used bargains groups to see where deals and offers were on and shopped wisely"
"5d539f4f147a7d00195aaeb1","Cut back on spending. Heated water using the gas cooker as we had no electricity. Put on extra clothes as no heating. 
Went to public buildings during the daytime"
"5d5ebf340196240017fc8f65","I don't cope very well. I first started to madly cancel anything unnecessary or non mandatory in terms of payments. I realised that doesn't do enough so I rebudgeted my food and spending shops. I then started to look around for new jobs or other opportunities to earn money."
"5dc018fc2e1bfa4504eb4ce5","Had to cut down and really only get the essential things, with zero lther things that make life more comfortable."
"5dcfaad2dd9a740c2493fc28","There has been a few times in my life where I have had to go to bed hungry because I haven't been able to afford food and don't have the money in my account to pay for the most basic resources. I just kept my head down and hoped that one day things would change."
"5dd05d80b2204f1487f7812c","Many years ago me or my family struggled to get enough food to eat so we had to count on family members to help us out."
"5dfb7cbd01423f8a774d893b","Found a permanent job that paid quite well and worked my way up"
"5e1e1c204248b8000cfb43ba","I had to swallow my pride and ask family for help to afford to eat"
"5e32c95c87b8ef28e5aff6ea","I always rely on my inner strength and calm demeanour. My sense of self and confidence in my ability always made me feel confident I could bring myself back up no problem."
"5e6003da868950348ea8cdec","Being self-employed, i experience an almost yearly drop in sales and for the most part, keep money aside for when the expected time comes."
"5e6a923f59a3bd04d5edc606","I went without basic fulfillment, I did what I could to scrounge resources to get by hour to hour"
"5e7737423115e0296b5e582c","I did everything I could to scrimp and save where possible, such as by selling items secondhand. When it got really desperate, I asked for a loan from a family member, which I’m still ashamed of."
"5e9375259c9687000b26ec11","I didn’t know what to do and had little help"
"5e98ccf370194e0f49a1333b","I are very little, I stayed at my parents home to save money, and I found some part time work for a few weeks."
"5ea433f82992293d5e604ad1","went into debt, for a short period, until i started earning money again, then repaid that debt."
"5eadc384e00264461f74d7c8","I found myself a second job just to get by for the basic needs.  I also cut back on things that I probably shouldn't have been buying."
"5eb16c586c9da307909aae43","I gathered all the money had available and. tried to split it to make it last as long as possible while still having enough for basic  needs."
"5ecfd28bb14b1c05751f178c","i spent many a sleepless night wondering if i could pluck up the courage to raise finances needed i had to give in ask family to help and set up a payment plan to pay them back"
"5ee5defbfe74a3000d106f51","I had to borrow a significant amount of money from my parents to be able to survive. Money that I am still paying back right now."
"5eeddefa177a7322144cbc5e","I counted every penny i spent and lived under a super tight budget. i gave up on any indulgence i had at the time and focused on changing the way i did things in life so i did not end up in the situation again."
"5ef636e35322f20eaee7c45f","I moved in with a family member. I sold items I owned like musical instruments, games consoles, books. I stopped all spending beyond food and rent contributions."
"5f05ef4bd552bc0009e5566c","I sold belongings to pay rent and bills."
"5f0b339b48213f430a2e548d","Need to try get a new job but cut back on food etv"
"5f0ef9c9ff62e3018320db31","We had to resort to using credit cards to provide food for our family at the end of the month. We are now in substantial debt because of this, which only makes our problems worse."
"5f160514e2a4062d2a0ded58","I budgeted my finances and cancelled what I could go without. I then turned to my family and friends for support and help."
"5f3e6a07e06e71069f919082","I borrowed money from my parents, in order to be able to afford the essentials to live. I didn't have money to pay my rent that month, so I had to be honest with them and tell them that I needed support."
"5f55e19d573b999c136c6547","Losing a job and relying too much on the prospect put me in a dire position where all of a sudden I felt I had nothing and much was taken from me. Thankfully my family was able to take me in temporarily and I gratefully managed to get a new and better paid role a few months later."
"5f57be602095072bb238a7ab","had to live in my car and go from friend to friends places and i stole sometimes, i used heroin at the time so used more to forget how crap it all was"
"5f75d01a857e4e27a575f7ca","I only spent money on food, and not much else. I had to borrow money for a few months to cover rent and household bills, but eventually I was able to find a job and pay back the loan."
"5f8bf55617ed3331cd61707e","At first I took out a consolidation loan, but this did not work long term. So I had a debt management plan set up - I drew up a method of injecting more money into it where possible"
"5f9df1435eb24e38ad10fcd0","I started to change my mindset around money and what I could do to earn i considered many side hustles and learning new skills to get money to provide. In order to cope I sought information and even borrowed to stay afloat"
"5fd76b7d246a3705a25c9a94","I tried to make more money to sort out the situation"
"5fda057989ec4c35a700f69f","I had to borrow money from family that realistically, they knew I could not afford to pay back any time soon"
"5fe0b183d8918b2030aa99a0","I am very privileged in that I had options to fall back on, by asking family for support and temporary financial assistance, allowing me to get through this period relatively okay."
"5fea2e6613597c51a166f24d","I was in financial hardship with high levels of debt, which I could not afford to repay. I did everything I could to clear these debts, including selling off a lot of my possessions, and cutting back on all expenditure, including moving to a cheaper place to live."
"5ff76ac3a2b5844287b9141b","We used our credit card to make sure we could buy food shopping/pay the bill. It was tough to accept that we had to do it but there was no spare money."
"603b9be389c6cf7d0dd74fd1","I took on extra work to ensure my next months pay was better to get back on track. I also for food during the time bought big bags of pasta so I could ensure I could eat and have enough food to keep me going as would not be able to buy more food."
"603d3e53d42711c0d0c38b30","To cope, I focused on budgeting very carefully, prioritizing only essential expenses and cutting out anything non-essential. I sought out temporary work wherever possible, even if it wasn’t ideal, to have some income. Additionally, I relied on emotional support from close friends and family to stay resilient during this time."
"6066d08253019ea549b1dd37","I have a very supportive wider family network who are financially secure and they were able to help me with paying for basic things such as food, my mortgage and petrol. Then, when I had some more money coming in, I was able to pay them back. On some occasions, I have set up a payment plan with a family member who has lent me money to pay back small manageable chunks each month. I am still paying for some of these payment plans now."
"607081b0ecb2499634a349dd","It the waiting in between of payday and benefits."
"6072f5e58232a7e276108b28","I was able to borrow money from family members, which i would pay back as soon as i could"
"60919018ce223dc3906d7a7e","I found another job"
"609d1ddf6aa3ba55f1bf4267","Try to take my mind of it and relax"
"60a047bd9244cf64dc2283a8","I struggled through it; I didn't really have much ability to escape my situation so I just dealt with it and tried to concentrate on other things."
"60bbdb37286980cc3ba6f309","I currently don't have adequate heating and sometimes don't have enoiugh food without resorting to food banks, free meals etc/ This can mean missing the odd meal as these options are not available every day, and sometimes pride means  I would rather go without. I have several friends in a similar situation, we help each other out, share when we have extra. and generally support each other. I also have chronic health issues which the nHS doesn't really adequately deal with, I try to use supplements/ alternatives when I can- I can't afford to consistently - and I constantly work on staying healthy as possible by diet, exercise, managing stress etc. There is a certain amount of depression that comes from realising that things have got as bad as you feared, and it's been this way for a long time and you are still somehow here and coping, but with poorer health and a smaller less satisfying life. There is also anxiety because even at this point, there can be crises and times that are worse or better. Having the support of friends and living in a really good neighbourhood where people try to help each other, is probably themost important thing"
"60cfe291c5ef4a1fb6019ee1","To cope, I focused on careful budgeting, cutting out all non-essential expenses, and finding part-time work to bring in extra income. I also reached out to family and friends for support, both financially and emotionally, which made a big difference. It was a tough time, but staying resourceful and leaning on my support network helped me get through it."
"60d88215cb2f2655d0e4c663","Stay positive and make some life changes"
"60da58fba89087fa09d9a18d","To cope, I focused on building stability by connecting with supportive people, addressing immediate needs, and setting small goals. Staying mindful and keeping routines helped me stay grounded."
"60ef416bf0b42b5595e4f4c0","We made as many cutbacks as we could and lived very frugally in order topay our main bills. We prioritized what was the most important to use and made sure we spent every penny well and in the best way for our family."
"60fbfb7934abbb6199381c88","cut back on everything none essential, and did everything I could to make extra money to sort it out"
"60fff225fb2da6129caf029a","i have had second job to have more money and i did save money if i would be in  similar situation"
"6100105892a2248ae5d48498","I needed money to be able to afford grocery shopping. Went into debt to pay for it since my partner and I were not making enough to combat the cost of living. We even only bought frozen meals and had to starve at times such as skipping lunches and or dinner. We even cut down on subscriptions and stopped buying other needs trying to figure out what was more important."
"611a45a99c4ee56ad9247e09","""Falling into such a situation is really difficult, but I have very close friends and people I can rely on in such times. When I faced financial hardship, I received help from my friend. Additionally, I was aware that this situation was temporary because I am well-educated, and as someone who has made plans for my future, I was comforting myself by knowing that this situation was temporary."""
"6136001fcd0e07e6f5f66bc1","I asked friends and family to help. I reached out to the unviersity for extra support too."
"613a415ae2f1292f97385a12","i spent all my time working, i was doing 70+ hours a week to try and pay off the debt i had built up plus paying my current bills.. i had to borrow money off so many people to keep me a float"
"614618f3146cc85f803c4e69","I just tried to remain positive. I found that if I was negative and pessimistic it didn’t help the situation at all and just contributed to a depressive feeling that meant I almost gave up. So I had to remain positive."
"6148c83dffddab3a6029cd02","I asked for help from whoever I could and made a plan to bounce back"
"614e4f5af7eba1c013541155","downsized house,sold cars ,no new purchases only basics. no holidays etc."
"6173c5b0aa4bc2370fd2c1f2","Speak to people and sofa surf"
"62b33b138458cf5656924ae5","We were made homeless at a time when I wasn't earning much money, and then my wife lost her job. We ended up sofa-surfing with our daughter for a while, with most of our belongings stored in a friend's garage until we could find somewhere to live."
"62d6d87d91cf24a3c1c0f10c","I reached out and got access to whatever support I could and got myself back to work or off gambling."
"62da5341047b003d87cfc99f","Cut down on essentials and borrowed money from family"
"62f108ab1d119c891d45ae6a","I begged and borrowed and tried to put off anything but the most essential costs. Luckily it was very short term"
"62fb7b282ed3a1e42d9a5f46","Just remembering that nothing lasts forever and I've always been good at getting myself out of bad situations. In terms of making sure my needs were met, a lot of thinking and planning ahead, so making sure I was buying cheap ingredients for good meals that would keep me full for a long period of time"
"6310c063bd0cce86b0289d20","I tried my best to work even harder and not think about the situation I was in."
"631755de69157e27c295a340","in these situations i sold valuable items that i had kept in case of a disaster or an emergency, i normally try to keep hold of certain items so then i have something as a last resort to get me out of financial situations"
"6321d9c78e8e3c04f82a0ea0","We would borrow the money from a family member and then we would arrange a payment plan with the family member to pay more comfortably."
"6396044f6ae489bb820c67a5","My confidence in bouncing back from difficult financial situations has varied over time, depending on the specific circumstances. In some cases, I was fairly confident that I could improve my situation through hard work, perseverance, and resourcefulness"
"63d4fd720422442e99f00231","I had to ""tighten my belt"" for the month - I cut back on unnecessary spending - and I sold some of my possessions on sites like eBay to earn some extra money."
"63d5decffe6025fec6a381b0","Honestly there wasnt much i could do besides just hope i somehow made it through the month!"
"63d9a2f4809dc6997a950a35","Just a mindset that ""it will get better"" very demotivating though usually i'll self destruct what little funds i have prior to getting there"
"63e632b888bcbe9376df4f62","I sofa surfed with friends or family, lived super frugally, did nothing, just focused on getting through and looking for a job.  I was/am very employable, so knew that I could do something to get back, indeed even getting into the situation was because I knew I could bounce back relatively easily, I felt confident in my privilige whilst also knowing there were people I could use - even though I did occasionally sleep rough, it was more because I wanted to stay somewhere different."
"63f93b47bb0c1a1aca131480","I just focused on there being a future and that thing would change if I didn't give up all hope."
"6400ff4ef8da6eaf2b41d19e","I was a student and had no income and outgoings exceeded my loan. I wasn’t able to work as I couldn’t even afford to commute out of my residence area to get a job that was actually possible to work outside university hours. I seeked emergency student support grant."
"6440ec657d3df6f5223edc73","I looked for additional employment to bring in more money to try and to bridge the gap and enable me to pay for the necessities. I also cut back on spending and looked at my finances to see what I could stop paying."
"648978eef0a4e73b67c9c153","I've all been able to look after the pennies and I was sure that I would be able to put food on the table.  The mortgage was always an issue in the early days, however I was confident that my family would come to the rescue in desparate times."
"64eb7975f0171c1552c78e48","I took on a second job several evenings a week. I also enrolled at a further education college to complete a course to give me access to university to do a degree."
"6512ae672f906eda39b7e9db","In these situations you beg borrow and steal, food banks or offers in reduced any way you can time usually comes to the rescue and you get a basic amount of money but in this day and age its not enough."
"651d3a237b58076f5c6f029c","cutting off subscription services such as netflix amazon prime and disney plus. not buying things like beer and nice dinners from the supermarket. borrowing money from relatives to help get me back on my feet. not putting the heating on and just wearing more clothes same with making sure lights are off in rooms people arent using."
"651fbf405f6a2b4756a93b5a","Asked family and friends for help."
"652d3d04c10f55b52e6fb628","i will say mindfulness and mediation
breaking tasks into manageable steps
exercise and physical activity
and socializing with my loved ones"
"65313bdcb9fd825a8c1d4981","I reduced my spending to make sure I had funds to pay for the necessary things."
"65389f0b0f181197c4218f6d","Really leveraged past success as motivation to overcome situation. Continuing to work as hard as possible throughout that time despite lack of basic rewards or incentives other than the possibility of overcoming the adversity."
"65416b056fddf0f8c795430e","I was fortunate enough to have friends who were willing to help me out and offer financial aid in order to meet my needs."
"654a44f0addb5f41f1705b75","I first cut out unnecessary spending, turned to my savings, and occasionally my credit card."
"654f89d4924d0d5a050f375d","I prioritised conserving energy by focusing only on essential activities and sought out nearby resources, like local food banks and community programmes. I reached out to friends and family, who offered both support and practical help, which made a significant difference in getting through each day. I also made adjustments to find affordable and accessible foods, managing to stretch what little I had until my situation stabilised."
"6571fd9d691befe21fa61d18","I’ve been in situations where I didn’t have enough financial resources to meet my basic needs more than once. During those times, I wasn’t always sure how I would bounce back, but I had a sense that I would find a way eventually. I’ve done things I’m not proud of, like stealing or making sacrifices, just to get by and try to keep things stable for myself and my family. It wasn’t easy, and I always had to find ways to adapt and get creative to make it through. Can you understand that?"
"6578943bda60b06de1ba4628","I coped by making sure i had family and friends around me who i could speak to and knew would be able to help me through financial hardships. I also made sure to balance my money better and not to spend it on some unnecessary items."
"65afcdd47e309167396b9506","Massively reduce outgoing money, such as not putting the heating on during winter. Also looking for and finding additional employment. Spending the least amount of money possible on groceries."
"65c4ffdbbc3723eaece5a937","I had a long-term illness and was unable to work. It was very hard especially before I was properly diagnosed. Because of the nature of my illness I spent all my savings trying to get help and then had very little left and no income."
"65c9dd09090c48be1380c4b8","There was a time when I was a part-time teacher, and wasn't paid over the summer holidays. It was in these times that I would go without a proper wage for about 3 months. In those times I would do things like selling things at car boot sales, take on a summer part-time job (minimum wage), try to sell artwork."
"65de30b34b701c678a13c75b","I found the cheapest food I could find and only ate what I needed to keep me satisfied. I also wore more layers of clothing when the weather was bad rather than have the heating on"
"65e1e16d9f7eaa10f3454025","I used the financial support of my family and sold things that I could live without."
"65e2cb31fb9eabd44a2febbb","I would work even harder during the hard times to make sure I could earn that much to survive independently."
"660207c28ad9227816c9593d","I was living abroad with a friend and we ran out of money. We had somewhere to live but nothing to buy food with. We went to a place that gave food basics like butter and flour to very low income people and the homeless and got enough to make watery pancakes, then we went scavaging for aluminium cans that could be weighed in for money at a recycling centre."
"660d53ffb54d05e5ae6c56f2","I ran out of electricity a few times and had to borrow money from family members or friends to be able to pay for more."
"660d5c2e7246f533059561e0","be calm, speak to friends and work through the issues"
"6617d376619a2b4541498f2c","I had to cope with it as I had two young children, I kept going for them and just kept plodding on and I knew that things would start to change and get better. As long as my boys were happy they is all that mattered to myself."
"66227c74b6236d2075973547","I made a plan and turned to others for help to be able to bring myself out of the place that I was in. I needed to get a better job and earn more money to be able to provide my basic needs"
"6639ba1a258d1a06a958a91d","Cut down food to bare essentials. Borrowed/asked mother for money. Asked wife to help. Eventually a debt management plan."
"66435e2e5c5b5aceb2195908","During my teens my family were made homeless and we had to move in with my grandmother. They lost the house after failing to make mortgage payments. There were four of us in one room while we waited a month for counsel housing. I coped by having my family close to me and looking after me. We didn't have much of anything at all but we had each other. So I used family to cope."
"66446d88662725412dc27d06","kept reminding myself that tough times lead to happier times and this rough patch in life is temporary and wont last long. also i cut back on every expense i could in order to keep myself physically going"
"66449ec145d0a795084e7b47","I'm lucky as I went to my father to borrow some money to get us out of the mess we ended up in.  Next month is actually my last payment to pay it back but I was really worried to the point of being sick before I asked for help."
"66484cfc664a1d8dd22f2fcf","Looking for work as often as possible. My mental health suffered and as a family we struggle on all levels. We utilised credit cards and help from extended family to cope"
"664d13e7bd941e750966cb72","I concentrated on the positive things in my life and told myself that things will improve"
"664df024c7ce709382bea0ed","cut back on what it is that i had so the rest of my family could eat well"
"6651e47b1593afe79894ae83","I don't really know how I coped, it was just something I had to get through. I have hobbies I focused on so in a way it took my mind off things."
"6658b17457c78cae33858218","Asked for help, approached the landlord about rent and asked family for help eventually. Sometimes I would miss meals to make sure money went further"
"6658b8079bdcfc7da425e0ec","I spoke to family and friends and asked for help. I contacted charities for advice"
"6658ca2b92efe5c33798f1b4","I readjusted my spending habits and limited my outgoings."
"6658e32b624996d90589338a","I am still in that situation - I am trying to do side hustles to cover the things I can’t afford with my wages"
"6658e56b488052210af6f6dc","In the past I've had to go without food, and live in a flat with no electric or gas, until some money came in again. I knew money was coming soon, so dealt with the situation, knowing it wasn't permanent. I'm lucky"
"66597efb84cb793eeaa06ef8","This is a difficult question to be honest it is very hard to unless unless you have been in a similar situation.  What I did to cope was to adapt where ever I possibly could. Sometimes I relied on clothes from friends and family. Likewise there was a lot of generous people who helped out. For example, on several occasions I was invited around to a friend(s) house for some food.  I also became very determined to dig my way out of the problem.  So I worked hard and took whatever jobs I could get. I did every job imaginable."
"6659cd95836f4dc6c83928ae","I was quite fortunate when i was on the streets i found others that would look out for me, i was quite young at the time (17-18) so was at quite a lot of risk"
"665ae2ab5224bdf82a9ece3e","I had to take measures to cut down on spending so that I could afford the bare essentials. Or I had to borrow money to be able to cover bills to heat the house."
"665c195f916ba5d4eb3b2807","I had to remain positive and focus on keeping the business going in my husband's absence. Giving up wasn't an option as I had no plan B."
"665c2829018103646d5cd077","Went to the council to see if I qualified for universal credit and applied for more work with agencies. Found out about local organisations that offered food and apps such as olio or too good to go where people or companies offered discounted produce."
"665c5b5cb53983b0b6323300","I used to travel a lot as a means to escape so I’d work all the hours in hospitality for a few months and then bounce. I’d have loads of money for a while but with no sound financial knowledge, I’d blow through it too quickly. At least several times I didn’t know how I’d get home, and then once ‘home’ I didn’t have anywhere to stay. I survived by asking friends for somewhere to stay."
"665c790a98cf6c7245fcb47c","I spent about 18 hours most days doing remote work for DataAnnotation.Towards the end of each evening I would often start drinking"
"665cbb5330e667143ec23d9e","Kept hustling, look at ways to make money so I could support myself better."
"665dc46f6552a7a3a0039fe6","Used olio. Borrowed from parents"
"665dccea1d994deb86673695","i just had to learn to budget what we had to make it stretch and also had good parents to help"
"665e0faa748512c88de27385","Cut back on non essentials, search for additional work and revenue streams"
"66620b15d94e5cb49f62db0b","Extra shifts and less time with my family and baby"
"6662dbfe62c2c9c758ee3b64","I did not do a food shop until I received my next payment day. Instead I rationed food and used what I had to hand. We showered less and did not use any heating to save on energy usage"
"66682215a0ceedec14b62fe6","I had to think positively, and budget."
"666af621e0cefa7dc393bbc5","I was young so I didn't really understand that I was in a 'not normal' situation financially. My mum had this mantra that I use even as an adult, and she'd always just say ""We'll find a way through, we always do"". And, whilst it didn't feel like it at the time, and whilst we certainly didn't improve financial situations for years, it definitely helped to build hope. So, family support and just making the best of a bad situation helped me to cope."
"666d924a6877d388448ac4b7","borrowed money"
"666ee5994b49ad9236867a62","I did extra shifts at work to try and compensate. I borrowed money and took out loans. I also used credit cards."
"666f1b4438a4b9146bfbb767","I took on more work, re did my budget to cut costs further and sold what i could"
"6670414134eb283014d2c979","what i always do to cope is simply just to be patient and work hard and keep on believing for better days."
"66718bbb61a1ad0225968d18","Made sure to stay as calm as I could, not over reat or make big decisions when feeling emotional."
"66742483374308a361828387","one of the ways i was able to cope with financial situations was proper budgeting and expense management in tracking income and expenditures"
"66745cfbd6e10fd056860b83","I had to cut down my expenses at te time and I started proving some services to people so as to earn little money for myself"
"66774233add67a4a8e71398e","It was unexpected and difficult. I was lucky to have family who help financially until I was back in a secure position. I'd be hopefully more prepared next time."
"66801ce72870cfc59589dc61","I had to stick to a very strict budget, conserve energy, look for a second job and stop buying things that were not essential. I would stop buying brands and shop around for better prices to the point of obsession. I also increased my debt to credit cards etc."
"6682a947ff9dc00969537aba","I usually take out my frustration to situations like this at the gym, trying to use my anger in a productive way. At home I ration my groceries, with work I make excuses to work from home 3 or 4 days a week saving me daily transport costs, and am generally more cautious with electric, gas and water usage, trying to get by with what I have and making it last or fixing where possible"
"6682a9a3ff9dc00969537ae3","To cope, I had to prioritize essential expenses and cut non-essentials, seek out community assistance programs, and create a realistic budget. I looked for temporary income sources, and communicate with creditors about possible payment plans. I Relied on a support system for emotional relief, and practiced self-care to manage stress, which helps maintain clarity and resilience."
"6683f16c813d4c60a3364975","I began running up credit with high interest rate companies at first then re-mortgaged my home, it was all traumatic and not what I planned for my family"
"668422d8da1de7d7351fcedc","I used my savings and get overdraft and even got help from my family"
"668572ebf69d3ee8c00499f4","What I did to cope with that situation was that I cut down my expenses and I purchase my things from a discount shop. Also I suspend all holidays and suspend luxury things."
"66857a5b6efcd1cf07b88707","I adjust my living in every aspect possible. By making adjustments, sometimes feeling they are quite severe, I adjust my lifestyle and soon seen the benefit"
"668c893a3a9a1a960c28e9ad","worked more hours used prolific for extra income"
"668cedb07e044f1e36b92906","I spoke to my doctor for mental support as I was always anxious and could not sleep, I also spoke to my work place (when I was employed full time) to get extra shifts."
"668d729af9abd257e52541e6","I looked at my debt and put it all in a planner. I started by making the minimum payment and as I got my new job I started to make over the minimum payment. In a year I got a promotion and bonus and a lump sum so I want able to knock a lot of it off and save on interest. I now rarely buy things for myself and hold of and save for it. I avoid credit cards or things of that nature and just take time to save up for it instead"
"668e596e0af437f0fd23fac6","I did comprehensive research online to find the simplest and quickest ways to make money. When I found the best ways, I did them consistently and cut back on everything else I didn't need to cope with the situation."
